track_id,track_name,artist_name,album_name,release_date,year,genre,subgenre,popularity,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo_bpm,loudness_db,duration_ms,key,mode,time_signature,explicit,streams,playlist_count
TRK000000,Reggaeton Vibe 765,Latin Artist 69,Latin Artist 69 Essentials,2003-01-26,2003,Latin,Reggaeton,100,0.642,0.718,0.602,0.197,0.06,0.056,0.129,99.6,-14.44,150509,6,0,3,0,668112,228
TRK000001,Boom Bap Vibe 5595,Hip-Hop/Rap Artist 28,Hip-Hop/Rap Artist 28 Essentials,2014-01-11,2014,Hip-Hop/Rap,Boom Bap,91,0.739,0.444,0.268,0.304,0.268,0.191,0.649,114.12,-4.62,285620,9,0,4,0,6924381,59
TRK000002,Electropop Vibe 5097,Pop Artist 12,Pop Artist 12 Essentials,2024-02-13,2024,Pop,Electropop,100,0.919,0.622,0.765,0.331,0.211,0.077,0.186,135.21,-9.11,258980,6,1,3,1,278632,22
TRK000003,Vocal Jazz Vibe 9107,Jazz Artist 81,Jazz Artist 81 Essentials,2014-06-25,2014,Jazz,Vocal Jazz,78,0.562,0.36,0.609,0.953,0.164,0.241,0.272,114.18,-3.78,188341,0,0,4,0,128419,30
TRK000004,Romantic Vibe 367,Classical Artist 29,Classical Artist 29 Essentials,2021-09-27,2021,Classical,Romantic,59,0.194,0.043,0.436,0.669,0.167,0.364,0.334,60.0,-7.37,221254,9,1,3,0,180487,11
TRK000005,Teen Pop Vibe 6578,Pop Artist 70,Pop Artist 70 Essentials,2008-08-11,2008,Pop,Teen Pop,93,0.729,0.619,0.802,0.134,0.038,0.262,0.107,111.49,-3.89,201440,2,1,4,0,1278183,16
TRK000006,Conscious Rap Vibe 8168,Hip-Hop/Rap Artist 74,Hip-Hop/Rap Artist 74 Essentials,2009-05-30,2009,Hip-Hop/Rap,Conscious Rap,100,0.765,0.902,0.868,0.053,0.271,0.093,0.623,98.85,-10.38,98431,4,0,4,0,1301434,26
TRK000007,Indie Rock Vibe 6894,Rock Artist 80,Rock Artist 80 Essentials,2005-08-16,2005,Rock,Indie Rock,93,0.755,0.55,0.596,0.521,0.257,0.033,0.304,116.81,-8.2,240010,1,0,4,0,140624,116
TRK000008,Indie Rock Vibe 2875,Rock Artist 60,Rock Artist 60 Essentials,2019-07-15,2019,Rock,Indie Rock,87,0.652,0.617,0.438,0.59,0.042,0.451,0.135,132.66,-8.42,299763,10,1,4,0,284906,17
TRK000009,Contemporary Classical Vibe 2815,Classical Artist 24,Classical Artist 24 Essentials,2004-10-22,2004,Classical,Contemporary Classical,65,0.289,0.133,0.542,0.738,0.52,0.174,0.191,60.0,-9.1,134668,5,1,4,0,2479701,19
TRK000010,Alternative Rock Vibe 5807,Rock Artist 44,Rock Artist 44 Essentials,2004-08-28,2004,Rock,Alternative Rock,96,0.459,0.985,0.549,0.348,0.052,0.09,0.052,64.03,-5.05,188994,9,1,4,0,483180,66
TRK000011,Country Pop Vibe 6745,Country Artist 54,Country Artist 54 Essentials,2008-03-18,2008,Country,Country Pop,79,0.541,0.4,0.568,0.288,0.076,0.045,0.187,,-4.03,193169,9,0,4,0,3046935,9
TRK000012,Trance Vibe 3128,EDM Artist 86,EDM Artist 86 Essentials,2003-11-03,2003,EDM,Trance,100,,0.819,0.647,0.257,0.069,0.108,0.104,128.86,-9.51,219121,2,1,4,0,2250151,60
TRK000013,Conscious Rap Vibe 7664,Hip-Hop/Rap Artist 45,Hip-Hop/Rap Artist 45 Essentials,2014-10-10,2014,Hip-Hop/Rap,Conscious Rap,93,0.859,0.559,0.596,0.298,0.082,0.023,0.398,98.23,-12.32,240774,9,1,4,0,727651,17
TRK000014,Contemporary Classical Vibe 1736,Classical Artist 12,Classical Artist 12 Essentials,2011-04-23,2011,Classical,Contemporary Classical,54,0.066,0.157,0.264,0.721,0.221,0.182,0.249,74.52,-8.52,268828,9,1,3,0,208078,11
TRK000015,Neo Soul Vibe 4230,R&B/Soul Artist 90,R&B/Soul Artist 90 Essentials,2000-03-12,2000,R&B/Soul,Neo Soul,88,0.723,0.699,0.419,0.294,0.074,0.144,0.192,83.72,-8.86,273579,11,0,3,0,159931,34
